title,company,location,link
2020 Market Data Analyst - Seoul (Korean Speaker),Bloomberg,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=b3dc36f873b9e4e3
Window Desktop Application Developer (C# / .NET),Bepro Company,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=01b7f9d31e668163
Frontend Developer (Javascript/React),Bepro Company,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=d11342cfe074df78
데이터 분석가 (Business Intelligence Analyst),코스닥 상장 중견 게임기업,서울 강남구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=c1037225077ca4da
웹프로그래머 (FrontEnd) 기업부설연구소 연구원 #python #js #FullStack #모바일,넥스텝코리아,서울 용산구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=4222d68d578633e0
Developer / Designer recruit,마이뮤직테이스트,서울 논현동,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=55a19c92c845685e
현대오토에버 경력사원,현대오토에버,서울 강남구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=841d682c126a82e9
"UI/UX개발/고객행동분석 (Python, GA, Database)",온누리아이코리아,서울 용산구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=ca0f5a6068e6d5c4
Data Scientist,Boston Consulting Group,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=ce6747e77c861c46
Technical Consultant Intern,Amazon Web Services Korea LLC,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=7c10dc52b2252e38
Data Analyst,Axiologic Solutions,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=eb45c08f4c4a43d8
Healthcare Real World Data Analyst 담당자,IQVIA,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=a39853230d5ceca8
AI/빅데이터 분야 (인재 Pool),LG유플러스,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=fb617eeb80ea6fa9
"데이터 분석 및 컨설팅 분야 (Python, SAS, 빅데이터-신입)",한국정보기술단,서울 서초구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=c267f5ca9614c38a
삼성 청년SW아카데미 4기,멀티캠퍼스,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=f179ae9ce0b642be
Staff AE,Synopsys,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=c388192aa3ac0634
2020 APAC Graduate Programme – Junior Fixed Income Sales,BNP Paribas,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=b2c01054f550bdf2
Support Engineer,Microsoft,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=0bbf23c0930be392
Python 신입/경력 정규직,태그바이컴퍼니,서울 강남구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=e7b19736572ba66e
데이터 분석가(팀원급),RIDI Corp,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=0c5605721b0d73ec
[인재풀] 아티스트,Electronic Arts,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=aac8e9355cb855ac
Junior Quant Trader,Byzantine Partners,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=25725b3c0e607311
시스템개발팀 경력사원,한화큐셀,서울 중구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=7409a90e80b11855
데이터분석가(팀장급),RIDI Corp,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=1aa1ef16d0ee1675
"Customer Solutions Engineer, Global Client and Agency Solutions",Google,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=2615f45e6f912c05
